type,dataset,slot_time,instance_number,month,energy_instance_reference,energy_production_function,exec_time,status,obj_value,obj_bound
HEURISTIC_MEDIAN_12_LAD,B,96,1,Dec,2,constant,0:00:47.917494,OPTIMAL,122404762537,0
HEURISTIC_MEDIAN_12_LAD,B,96,1,Dec,2,exponential,0:00:46.302492,OPTIMAL,122350902025,0
HEURISTIC_MEDIAN_12_LAD,B,96,1,Dec,2,linear,0:00:46.681400,OPTIMAL,122406521481,0
HEURISTIC_MEDIAN_12_LAD,B,96,1,Dec,2,quadratic,0:00:45.560777,OPTIMAL,122428817149,0
HEURISTIC_MEDIAN_12_LAD,B,96,1,Jul,2,constant,0:00:43.154455,OPTIMAL,122402443111,0
HEURISTIC_MEDIAN_12_LAD,B,96,1,Jul,2,exponential,0:00:43.514269,OPTIMAL,122441572327,0
HEURISTIC_MEDIAN_12_LAD,B,96,1,Jul,2,linear,0:01:03.748038,OPTIMAL,122411732015,0
HEURISTIC_MEDIAN_12_LAD,B,96,1,Jul,2,quadratic,0:00:43.082591,OPTIMAL,122373067589,0
HEURISTIC_MEDIAN_12_LAD,B,96,1,Sep,2,constant,0:00:46.458104,OPTIMAL,122412701216,0
HEURISTIC_MEDIAN_12_LAD,B,96,1,Sep,2,exponential,0:00:47.904266,OPTIMAL,122487610905,0
HEURISTIC_MEDIAN_12_LAD,B,96,1,Sep,2,linear,0:00:45.792698,OPTIMAL,122431596677,0
HEURISTIC_MEDIAN_12_LAD,B,96,1,Sep,2,quadratic,0:01:05.899376,OPTIMAL,122372529841,0
HEURISTIC_MEDIAN_12_LAD,B,96,2,Dec,2,constant,0:00:39.472387,OPTIMAL,122576468535,0
HEURISTIC_MEDIAN_12_LAD,B,96,2,Dec,2,exponential,0:00:37.697169,OPTIMAL,122723444768,0
HEURISTIC_MEDIAN_12_LAD,B,96,2,Dec,2,linear,0:00:38.506357,OPTIMAL,122663132391,0
HEURISTIC_MEDIAN_12_LAD,B,96,2,Dec,2,quadratic,0:00:37.473839,OPTIMAL,122767485189,0
HEURISTIC_MEDIAN_12_LAD,B,96,2,Jul,2,constant,0:00:33.753290,OPTIMAL,122704865483,0
HEURISTIC_MEDIAN_12_LAD,B,96,2,Jul,2,exponential,0:00:36.059977,OPTIMAL,122581011702,0
HEURISTIC_MEDIAN_12_LAD,B,96,2,Jul,2,linear,0:00:34.341203,OPTIMAL,122559791605,0
HEURISTIC_MEDIAN_12_LAD,B,96,2,Jul,2,quadratic,0:00:35.997591,OPTIMAL,122699419770,0
HEURISTIC_MEDIAN_12_LAD,B,96,2,Sep,2,constant,0:00:35.782598,OPTIMAL,122659984975,0
HEURISTIC_MEDIAN_12_LAD,B,96,2,Sep,2,exponential,0:00:34.652363,OPTIMAL,122685605007,0
HEURISTIC_MEDIAN_12_LAD,B,96,2,Sep,2,linear,0:00:34.902218,OPTIMAL,122754878519,0
HEURISTIC_MEDIAN_12_LAD,B,96,2,Sep,2,quadratic,0:00:36.604918,OPTIMAL,122600403170,0
HEURISTIC_MEDIAN_12_LAD,B,96,3,Dec,2,constant,0:00:45.870675,OPTIMAL,122417355154,0
HEURISTIC_MEDIAN_12_LAD,B,96,3,Dec,2,exponential,0:01:33.107464,OPTIMAL,122357885980,0
HEURISTIC_MEDIAN_12_LAD,B,96,3,Dec,2,linear,0:00:48.152753,OPTIMAL,122503296072,0
HEURISTIC_MEDIAN_12_LAD,B,96,3,Dec,2,quadratic,0:00:44.720343,OPTIMAL,122420080124,0
HEURISTIC_MEDIAN_12_LAD,B,96,3,Jul,2,constant,0:00:42.766392,OPTIMAL,122415241113,0
HEURISTIC_MEDIAN_12_LAD,B,96,3,Jul,2,exponential,0:01:34.318995,OPTIMAL,122320133954,0
HEURISTIC_MEDIAN_12_LAD,B,96,3,Jul,2,linear,0:00:42.385196,OPTIMAL,122464774303,0
HEURISTIC_MEDIAN_12_LAD,B,96,3,Jul,2,quadratic,0:01:36.472943,OPTIMAL,122323565108,0
